icd10_category,category_name
A01,Typhoid and paratyphoid fevers
A02,Other salmonella infections
A03,Shigellosis
A04,Other bacterial intestinal infections
A05,"Other bacterial foodborne intoxications, not elsewhere classified"
A06,Amebiasis
A07,Other protozoal intestinal diseases
A08,Viral and other specified intestinal infections
A09,"Infectious gastroenteritis and colitis, unspecified"
A15,Respiratory tuberculosis
A17,Tuberculosis of nervous system
A18,Tuberculosis of other organs
A19,Miliary tuberculosis
A27,Leptospirosis
A28,"Other zoonotic bacterial diseases, not elsewhere classified"
A31,Infection due to other mycobacteria
A32,Listeriosis
A35,Other tetanus
A37,Whooping cough
A38,Scarlet fever
A39,Meningococcal infection
A40,Streptococcal sepsis
A41,Other sepsis
A42,Actinomycosis
A43,Nocardiosis
A44,Bartonellosis
A46,Erysipelas
A48,"Other bacterial diseases, not elsewhere classified"
A49,Bacterial infection of unspecified site
A51,Early syphilis
A52,Late syphilis
A53,Other and unspecified syphilis
A54,Gonococcal infection
A56,Other sexually transmitted chlamydial diseases
A57,Chancroid
A59,Trichomoniasis
A60,Anogenital herpesviral [herpes simplex] infections
A63,"Other predominantly sexually transmitted diseases, not elsewhere classified"
A64,Unspecified sexually transmitted disease
A68,Relapsing fevers
A69,Other spirochetal infections
A74,Other diseases caused by chlamydiae
A77,Spotted fever [tick-borne rickettsioses]
A79,Other rickettsioses
A80,Acute poliomyelitis
A81,Atypical virus infections of central nervous system
A81.2,Progressive multifocal leukoencephalopathy
A83,Mosquito-borne viral encephalitis
A86,Unspecified viral encephalitis
A87,Viral meningitis
A88,"Other viral infections of central nervous system, not elsewhere classified"
A89,Unspecified viral infection of central nervous system
A90,Dengue fever [classical dengue]
A92,Other mosquito-borne viral fevers
A93,"Other arthropod-borne viral fevers, not elsewhere classified"
A94,Unspecified arthropod-borne viral fever
A98,"Other viral hemorrhagic fevers, not elsewhere classified"
A99,Unspecified viral hemorrhagic fever
B00,Herpesviral [herpes simplex] infections
B00.4,Herpesviral encephalitis
B01,Varicella [chickenpox]
B02,Zoster [herpes zoster]
B04,Monkeypox
B05,Measles
B06,Rubella [German measles]
B07,Viral warts
B08,"Other viral infections characterized by skin and mucous membrane lesions, not elsewhere classified"
B09,Unspecified viral infection characterized by skin and mucous membrane lesions
B15,Acute hepatitis A
B16,Acute hepatitis B
B17,Other acute viral hepatitis
B18,Chronic viral hepatitis
B19,Unspecified viral hepatitis
B20,Human immunodeficiency virus [HIV] disease
B25,Cytomegaloviral disease
B26,Mumps
B27,Infectious mononucleosis
B30,Viral conjunctivitis
B33,"Other viral diseases, not elsewhere classified"
B34,Viral infection of unspecified site
B35,Dermatophytosis
B36,Other superficial mycoses
B37,Candidiasis
B38,Coccidioidomycosis
B39,Histoplasmosis
B44,Aspergillosis
B45,Cryptococcosis
B46,Zygomycosis
B47,Mycetoma
B48,"Other mycoses, not elsewhere classified"
B49,Unspecified mycosis
B54,Unspecified malaria
B55,Leishmaniasis
B58,Toxoplasmosis
B59,Pneumocystosis
B60,"Other protozoal diseases, not elsewhere classified"
B65,Schistosomiasis [bilharziasis]
B67,Echinococcosis
B69,Cysticercosis
B78,Strongyloidiasis
B82,Unspecified intestinal parasitism
B83,Other helminthiases
B85,Pediculosis and phthiriasis
B86,Scabies
B88,Other infestations
B89,Unspecified parasitic disease
B91,Sequelae of poliomyelitis
B94,Sequelae of other and unspecified infectious and parasitic diseases
B95,"Streptococcus, Staphylococcus, and Enterococcus as the cause of diseases classified elsewhere"
B96,Other bacterial agents as the cause of diseases classified elsewhere
B97,Viral agents as the cause of diseases classified elsewhere
B99,Other and unspecified infectious diseases
C01,Malignant neoplasm of base of tongue
C02,Malignant neoplasm of other and unspecified parts of tongue
C06,Malignant neoplasm of other and unspecified parts of mouth
C07,Malignant neoplasm of parotid gland
C09,Malignant neoplasm of tonsil
C10,Malignant neoplasm of oropharynx
C11,Malignant neoplasm of nasopharynx
C14,"Malignant neoplasm of other and ill-defined sites in the lip, oral cavity and pharynx"
C15,Malignant neoplasm of esophagus
C16,Malignant neoplasm of stomach
C17,Malignant neoplasm of small intestine
C18,Malignant neoplasm of colon
C19,Malignant neoplasm of rectosigmoid junction
C20,Malignant neoplasm of rectum
C21,Malignant neoplasm of anus and anal canal
C22,Malignant neoplasm of liver and intrahepatic bile ducts
C23,Malignant neoplasm of gallbladder
C24,Malignant neoplasm of other and unspecified parts of biliary tract
C25,Malignant neoplasm of pancreas
C26,Malignant neoplasm of other and ill-defined digestive organs
C30,Malignant neoplasm of nasal cavity and middle ear
C31,Malignant neoplasm of accessory sinuses
C32,Malignant neoplasm of larynx
C34,Malignant neoplasm of bronchus and lung
C37,Malignant neoplasm of thymus
C38,"Malignant neoplasm of heart, mediastinum and pleura"
C40,Malignant neoplasm of bone and articular cartilage of limbs
C41,Malignant neoplasm of bone and articular cartilage of other and unspecified sites
C43,Malignant melanoma of skin
C44,Other and unspecified malignant neoplasm of skin
C45,Mesothelioma
C46,Kaposi's sarcoma
C48,Malignant neoplasm of retroperitoneum and peritoneum
C49,Malignant neoplasm of other connective and soft tissue
C50,Malignant neoplasm of breast
C51,Malignant neoplasm of vulva
C53,Malignant neoplasm of cervix uteri
C54,Malignant neoplasm of corpus uteri
C55,"Malignant neoplasm of uterus, part unspecified"
C56,Malignant neoplasm of ovary
C57,Malignant neoplasm of other and unspecified female genital organs
C61,Malignant neoplasm of prostate
C62,Malignant neoplasm of testis
C64,"Malignant neoplasm of kidney, except renal pelvis"
C66,Malignant neoplasm of ureter
C67,Malignant neoplasm of bladder
C68,Malignant neoplasm of other and unspecified urinary organs
C69,Malignant neoplasm of eye and adnexa
C70,Malignant neoplasm of meninges
C71,Malignant neoplasm of brain
C72,"Malignant neoplasm of spinal cord, cranial nerves and other parts of central nervous system"
C73,Malignant neoplasm of thyroid gland
C74,Malignant neoplasm of adrenal gland
C75,Malignant neoplasm of other endocrine glands and related structures
C76,Malignant neoplasm of other and ill-defined sites
C77,Secondary and unspecified malignant neoplasm of lymph nodes
C78,Secondary malignant neoplasm of respiratory and digestive organs
C79,Secondary malignant neoplasm of other and unspecified sites
C79.31,Secondary malignant neoplasm of brain
C80,Malignant neoplasm without specification of site
C81,Hodgkin lymphoma
C82,Follicular lymphoma
C83,Non-follicular lymphoma
C84,Mature T/NK-cell lymphomas
C85,Other specified and unspecified types of non-Hodgkin lymphoma
C88,Malignant immunoproliferative diseases and certain other B-cell lymphomas
C90,Multiple myeloma and malignant plasma cell neoplasms
C91,Lymphoid leukemia
C92,Myeloid leukemia
C93,Monocytic leukemia
C94,Other leukemias of specified cell type
C95,Leukemia of unspecified cell type
C96,"Other and unspecified malignant neoplasms of lymphoid, hematopoietic and related tissue"
D00,"Carcinoma in situ of oral cavity, esophagus and stomach"
D01,Carcinoma in situ of other and unspecified digestive organs
D02,Carcinoma in situ of middle ear and respiratory system
D03,Melanoma in situ
D04,Carcinoma in situ of skin
D05,Carcinoma in situ of breast
D06,Carcinoma in situ of cervix uteri
D07,Carcinoma in situ of other and unspecified genital organs
D09,Carcinoma in situ of other and unspecified sites
D10,Benign neoplasm of mouth and pharynx
D11,Benign neoplasm of major salivary glands
D12,"Benign neoplasm of colon, rectum, anus and anal canal"
D13,Benign neoplasm of other and ill-defined parts of digestive system
D14,Benign neoplasm of middle ear and respiratory system
D15,Benign neoplasm of other and unspecified intrathoracic organs
D16,Benign neoplasm of bone and articular cartilage
D17,Benign lipomatous neoplasm
D18,"Hemangioma and lymphangioma, any site"
D19,Benign neoplasm of mesothelial tissue
D21,Other benign neoplasms of connective and other soft tissue
D22,Melanocytic nevi
D23,Other benign neoplasms of skin
D24,Benign neoplasm of breast
D25,Leiomyoma of uterus
D26,Other benign neoplasms of uterus
D27,Benign neoplasm of ovary
D28,Benign neoplasm of other and unspecified female genital organs
D29,Benign neoplasm of male genital organs
D30,Benign neoplasm of urinary organs
D31,Benign neoplasm of eye and adnexa
D32,Benign neoplasm of meninges
D33,Benign neoplasm of brain and other parts of central nervous system
D33.3,Benign neoplasm of cranial nerves
D34,Benign neoplasm of thyroid gland
D35,Benign neoplasm of other and unspecified endocrine glands
D36,Benign neoplasm of other and unspecified sites
D37,Neoplasm of uncertain behavior of oral cavity and digestive organs
D38,Neoplasm of uncertain behavior of middle ear and respiratory and intrathoracic organs
D39,Neoplasm of uncertain behavior of female genital organs
D40,Neoplasm of uncertain behavior of male genital organs
D41,Neoplasm of uncertain behavior of urinary organs
D42,Neoplasm of uncertain behavior of meninges
D43,Neoplasm of uncertain behavior of brain and central nervous system
D44,Neoplasm of uncertain behavior of endocrine glands
D45,Polycythemia vera
D46,Myelodysplastic syndromes
D47,"Other neoplasms of uncertain behavior of lymphoid, hematopoietic and related tissue"
D48,Neoplasm of uncertain behavior of other and unspecified sites
D49,Neoplasms of unspecified behavior
D50,Iron deficiency anemia
D51,Vitamin B12 deficiency anemia
D52,Folate deficiency anemia
D53,Other nutritional anemias
D55,Anemia due to enzyme disorders
D56,Thalassemia
D57,Sickle-cell disorders
D58,Other hereditary hemolytic anemias
D59,Acquired hemolytic anemia
D60,Acquired pure red cell aplasia [erythroblastopenia]
D61,Other aplastic anemias and other bone marrow failure syndromes
D62,Acute posthemorrhagic anemia
D63,Anemia in chronic diseases classified elsewhere
D64,Other anemias
D65,Disseminated intravascular coagulation [defibrination syndrome]
D66,Hereditary factor VIII deficiency
D68,Other coagulation defects
D69,Purpura and other hemorrhagic conditions
D70,Neutropenia
D71,Functional disorders of polymorphonuclear neutrophils
D72,Other disorders of white blood cells
D73,Diseases of spleen
D74,Methemoglobinemia
D75,Other and unspecified diseases of blood and blood-forming organs
D76,Other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue
D77,Other disorders of blood and blood-forming organs in diseases classified elsewhere
D78,Intraoperative and postprocedural complications of the spleen
D80,Immunodeficiency with predominantly antibody defects
D81,Combined immunodeficiencies
D83,Common variable immunodeficiency
D84,Other immunodeficiencies
D86,Sarcoidosis
D89,"Other disorders involving the immune mechanism, not elsewhere classified"
